news_id,embargo_date,organisation_name,news_type,news_subject,news_summary
2022100300001,03/10/2022 12:00:00 PM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,THP Suria Mekar Sdn Bhd (the ''Issuer''),Early Redemption of Sukuk Murabahah on 3 October 2022
2022093000026,03/10/2022 11:00:00 AM,CIMB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,WEBE DIGITAL SDN BHD (''WEBE DIGITAL'' or ''ISSUER''),"UP TO RM1,650,000,000.00 NOMINAL VALUE OF UNRATED AND UNSECURED CONVERTIBLE MEDIUM TERM NOTES PROGRAMME (''CONVERTIBLE MTNs PROGRAMME'')"
2022100300002,03/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022093000031,30/09/2022 06:00:00 PM,AMINVESTMENT BANK BERHAD,NEWS FROM MEMBERS,"PROJEK LINTASAN SUNGAI BESI-ULU KLANG SDN. BHD. (""PLSUKE"")","IMTN PROGRAMME OF RM2,000.0 MILLION IN NOMINAL VALUE UNDER THE SHARIAH PRINCIPLE OF WAKALAH BI AL-ISTITHMAR (SUKUK WAKALAH PROGRAMME)"
2022093000023,30/09/2022 02:35:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,Jimah East Power Sdn Bhd,MARC RATINGS AFFIRMS AA-IS RATING ON JIMAH EAST POWER'S SUKUK
2022093000022,30/09/2022 02:30:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Exsim Capital Resources Berhad,RAM Ratings reaffirms AA3/Stable rating of Exsim Development -sponsored Tranche 2 IMTN
2022093000021,30/09/2022 12:15:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Johor Corporation,Islamic Medium Term Notes Programme of up to RM3.5 Billion in nominal value: Result Announcement for Extraordinary General Meeting
2022093000009,30/09/2022 11:00:00 AM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Alsreit Capital Sdn. Bhd. (the ''Issuer'' or the ''Company''),Islamic Medium Term Note Programme of up to RM1.5 Billion in nominal value based on the Shariah principle of Ijarah (''Sukuk Ijarah Programme'')  Special Resolution in Writing of Issue 2
2022093000001,30/09/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022092900032,29/09/2022 06:30:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Projek Smart Holdings Sdn Bhd (''Issuer''),Islamic Medium Term Notes Facility of up to RM250.0 Million in nominal value: Result Announcement of Resolution in Writing
2022092900020,29/09/2022 02:00:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,"IMPIAN EKSPRESI SDN. BHD. (""Issuer"")","Guaranteed Medium Term Notes Programme of up to RM450.0 Million in nominal value - Extraordinary General Meeting (""EGM"") of Sukukholders to be held on September 27, 2022 - Outcome"
2022092800024,29/09/2022 10:00:00 AM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Jelas Puri Sdn. Bhd. (the ''Issuer''),Early Partial Redemption of Medium Term Notes (''MTNs'') on 7 November 2022
